Normal 0,Normal 1,Normal 2,Normal 3,Normal 4,Normal 5,Normal 6,Normal 7,Normal 8,Normal 9,Normal 10,Normal 11,Normal 12,Normal 13,Normal 14,Normal 15,Normal 16,Normal 17
99.3767,,,,,,,,,,,,,97.9431,,,,
99.0282,,,,,,,,,,,,,98.3972,,,,
98.9394,,,,,,,,,,,,,98.3777,,,,
97.7498,,,,,,,,,,,,,98.9115,,,,
96.5722,,,,,,,,,,,,,98.9968,,,,
97.26859,,,,,,,,,,,,,98.65649,,,,
96.66331,,,,,,,,,,,,,98.8595,,,,
96.3058,,,,,,,,,,,,,98.1153,,,,
95.9084,,,,,,,,,,,,,98.7579,,,,
96.1409,,,,,,,,,,,,,98.1322,,,,
97.5895,,,,,,,,,,,,,98.7739,,,,
97.3913,,,,,,,,,,,,,99.521,,,,
97.8882,,,,,,,,,,,,,99.8703,,,,
97.6903,,,,,,,,,,,,,100.0356,,,,
97.2865,,,,,,,,,,,,,101.0078,,,,
97.475,,,,,,,,,,,,,101.5094,,,,
97.6208,,,,,,,,,,,,,100.3544,,,,
98.6243,,,,,,,,,,,,,101.92,,,,
100.2463,,,,,,,,,,,,,100.234,,,,
102.008,,,,,,,,,,,,,100.0404,,,,
101.6603,,,,,,,,,,,,,100.4578,,,,
99.7411,,,,,,,,,,,,,100.4587,,,,
97.4388,,,,,,,,,,,,,101.4307,,,,
97.7478,,,,,,,,,,,,,102.412,,,,
96.9407,,,,,,,,,,,,,102.8028,,,,
97.3153,,,,,,,,,,,,,103.3193,,,,
95.9699,,,,,,,,,,,,,100.9068,,,,
97.1298,,,,,,,,,,,,,102.2507,,,,
99.194,,,,,,,,,,,,,103.2805,,,,
98.47591,,,,,,,,,,,,,100.5751,,,,
100.2424,,,,,,,,,,,,,101.8731,,,,
99.5196,,,,,,,,,,,,,105.0115,,,,
97.8024,,,,,,,,,,,,,105.1666,,,,
97.8937,,,,,,,,,,,,,101.681,,,,
96.8881,,,,,,,,,,,,,101.6548,,,,
96.3387,,,,,,,,,,,,,100.6415,,,,
97.30579,,,,,,,,,,,,,100.1285,,,,
